Subgroup;Modell;n;MAE;MedianAE;RMSE;R2;Bias
1-2 d;Oberarzt;67;0.735;0.322;1.407;-25.969;0.581
1-2 d;ExtraTrees;67;2.462;2.236;2.884;-112.312;2.462
1-2 d;log1p_Mean;67;2.064;1.817;2.433;-79.635;2.064
1-2 d;Tweedie_1.3;67;2.08;2.005;2.307;-71.527;2.074
1-2 d;Tweedie_1.5;67;1.967;1.844;2.248;-67.825;1.963
1-2 d;Tweedie_1.7;67;1.89;1.748;2.112;-59.758;1.879
1-2 d;Gamma;67;1.707;1.588;1.937;-50.133;1.707
1-2 d;Hazard_E;67;2.674;2.49;2.89;-112.825;2.674
1-2 d;Hazard_Median;67;1.726;1.506;1.94;-50.271;1.726
1-2 d;Quantile_P50;67;1.319;1.242;1.49;-29.244;1.318
1-2 d;Quantile_P80;67;4.255;4.0;4.612;-288.837;4.255
1-2 d;Null;67;1.313;1.269;1.341;-23.486;1.313
2-4 d;Oberarzt;68;1.485;0.754;2.61;-15.805;0.851
2-4 d;ExtraTrees;68;1.265;0.914;1.627;-5.535;0.979
2-4 d;log1p_Mean;68;1.289;0.863;1.823;-7.197;0.929
2-4 d;Tweedie_1.3;68;1.358;0.981;1.807;-7.057;1.065
2-4 d;Tweedie_1.5;68;1.326;0.968;1.761;-6.652;0.987
2-4 d;Tweedie_1.7;68;1.258;1.057;1.587;-5.215;0.815
2-4 d;Gamma;68;1.232;1.041;1.56;-5.003;0.778
2-4 d;Hazard_E;68;1.639;1.348;2.06;-9.475;1.529
2-4 d;Hazard_Median;68;1.021;0.811;1.369;-3.622;0.586
2-4 d;Quantile_P50;68;0.83;0.73;1.026;-1.597;0.03
2-4 d;Quantile_P80;68;3.38;2.997;3.815;-34.912;3.38
2-4 d;Null;68;0.54;0.581;0.639;-0.008;-0.058
4-7 d;Oberarzt;31;2.003;2.008;2.355;-8.182;-1.345
4-7 d;ExtraTrees;31;1.398;1.303;1.669;-3.609;-1.262
4-7 d;log1p_Mean;31;1.836;1.618;2.054;-5.983;-1.819
4-7 d;Tweedie_1.3;31;1.707;1.431;1.916;-5.077;-1.591
4-7 d;Tweedie_1.5;31;1.843;1.921;2.088;-6.213;-1.743
4-7 d;Tweedie_1.7;31;1.872;1.991;2.12;-6.439;-1.818
4-7 d;Gamma;31;1.975;1.95;2.184;-6.892;-1.812
4-7 d;Hazard_E;31;1.339;1.296;1.581;-3.138;-1.016
4-7 d;Hazard_Median;31;2.078;2.008;2.275;-7.569;-2.078
4-7 d;Quantile_P50;31;2.611;2.432;2.714;-11.188;-2.611
4-7 d;Quantile_P80;31;1.424;1.241;1.775;-4.217;0.922
4-7 d;Null;31;2.548;2.731;2.664;-10.743;-2.548
>7 d;Oberarzt;27;6.514;4.564;8.635;-1.401;-3.012
>7 d;ExtraTrees;27;7.945;6.959;9.594;-1.963;-7.945
>7 d;log1p_Mean;27;8.474;7.797;10.193;-2.345;-8.474
>7 d;Tweedie_1.3;27;7.976;7.067;9.63;-1.986;-7.831
>7 d;Tweedie_1.5;27;8.186;7.753;9.809;-2.098;-8.04
>7 d;Tweedie_1.7;27;8.518;8.001;10.129;-2.303;-8.518
>7 d;Gamma;27;8.583;7.762;10.097;-2.282;-8.496
>7 d;Hazard_E;27;7.776;7.257;9.304;-1.787;-7.626
>7 d;Hazard_Median;27;8.693;8.401;10.242;-2.377;-8.66
>7 d;Quantile_P50;27;9.714;9.106;11.173;-3.019;-9.714
>7 d;Quantile_P80;27;6.364;6.229;8.026;-1.074;-6.095
>7 d;Null;27;10.034;8.396;11.478;-3.241;-10.034
