Subgruppe;Modell;n;MAE;Median_AE;RMSE;R2;Bias
gesamt;Oberarzt;193;2.011;0.893;3.796;0.219;-0.136
gesamt;ML Mean;193;2.57;0.969;4.81;-0.255;-1.956
gesamt;ML P50;193;2.502;1.012;4.746;-0.222;-1.941
1-7d;Oberarzt;166;1.279;0.701;2.15;-1.086;0.332
1-7d;ML Mean;166;1.259;0.769;1.797;-0.456;-0.545
1-7d;ML P50;166;1.19;0.871;1.644;-0.219;-0.538
>7d;Oberarzt;27;6.514;4.564;8.635;-1.401;-3.012
>7d;ML Mean;27;10.634;9.457;12.064;-3.686;-10.634
>7d;ML P50;27;10.568;9.356;12.017;-3.65;-10.568
>14d;Oberarzt;10;9.465;8.508;10.645;-4.583;-8.43
>14d;ML Mean;10;16.691;15.035;17.317;-13.775;-16.691
>14d;ML P50;10;16.699;15.909;17.319;-13.779;-16.699
