Subgruppe;Modell;n;MAE;Median_AE;RMSE;R2;Bias
gesamt;Oberarzt;193;2.011;0.893;3.796;0.219;-0.136
gesamt;log1p_Mean;193;2.57;0.969;4.81;-0.255;-1.956
gesamt;Tweedie_1.3;193;2.559;1.381;4.579;-0.137;-1.343
gesamt;Tweedie_1.5;193;2.561;1.356;4.579;-0.137;-1.17
gesamt;Tweedie_1.7;193;2.532;1.285;4.59;-0.142;-1.33
gesamt;Gamma;193;2.479;0.971;4.637;-0.166;-1.597
gesamt;Hazard_E;193;2.617;1.74;4.305;-0.005;-0.404
gesamt;Hazard_Median;193;2.444;1.056;4.581;-0.138;-1.589
1-7d;Oberarzt;166;1.279;0.701;2.15;-1.086;0.332
1-7d;log1p_Mean;166;1.259;0.769;1.797;-0.456;-0.545
1-7d;Tweedie_1.3;166;1.372;1.121;1.802;-0.465;0.043
1-7d;Tweedie_1.5;166;1.385;1.2;1.828;-0.508;0.232
1-7d;Tweedie_1.7;166;1.326;1.074;1.728;-0.348;0.072
1-7d;Gamma;166;1.232;0.823;1.709;-0.317;-0.207
1-7d;Hazard_E;166;1.599;1.66;1.841;-0.528;0.974
1-7d;Hazard_Median;166;1.192;0.955;1.532;-0.058;-0.198
>7d;Oberarzt;27;6.514;4.564;8.635;-1.401;-3.012
>7d;log1p_Mean;27;10.634;9.457;12.064;-3.686;-10.634
>7d;Tweedie_1.3;27;9.862;8.805;11.398;-3.183;-9.862
>7d;Tweedie_1.5;27;9.789;8.725;11.371;-3.163;-9.789
>7d;Tweedie_1.7;27;9.95;8.846;11.498;-3.257;-9.95
>7d;Gamma;27;10.144;8.893;11.65;-3.37;-10.144
>7d;Hazard_E;27;8.879;7.323;10.567;-2.595;-8.879
>7d;Hazard_Median;27;10.141;8.903;11.644;-3.365;-10.141
>14d;Oberarzt;10;9.465;8.508;10.645;-4.583;-8.43
>14d;log1p_Mean;10;16.691;15.035;17.317;-13.775;-16.691
>14d;Tweedie_1.3;10;15.765;14.29;16.494;-12.404;-15.765
>14d;Tweedie_1.5;10;15.856;14.385;16.564;-12.519;-15.856
>14d;Tweedie_1.7;10;16.02;14.439;16.691;-12.725;-16.02
>14d;Gamma;10;16.146;14.572;16.853;-12.993;-16.146
>14d;Hazard_E;10;15.05;13.896;15.705;-11.152;-15.05
>14d;Hazard_Median;10;16.28;15.195;16.913;-13.094;-16.28
