Subgruppe;Modell;n;MAE;Median_AE;RMSE;R2;Bias
gesamt;log1p_Mean;2601;2.78;1.228;5.368;0.353;-1.023
gesamt;Tweedie_1.3;2601;2.782;1.279;5.228;0.386;-0.608
gesamt;Tweedie_1.5;2601;2.756;1.246;5.202;0.392;-0.695
gesamt;Tweedie_1.7;2601;2.771;1.27;5.261;0.378;-0.767
gesamt;Gamma;2601;2.767;1.224;5.268;0.377;-0.873
gesamt;Hazard_E;2601;2.835;1.386;5.12;0.411;-0.238
gesamt;Hazard_Median;2601;2.716;1.156;5.291;0.371;-0.95
1-7d;log1p_Mean;2039;1.447;0.944;2.149;-0.894;0.648
1-7d;Tweedie_1.3;2039;1.646;0.989;2.493;-1.549;0.927
1-7d;Tweedie_1.5;2039;1.585;0.97;2.401;-1.366;0.846
1-7d;Tweedie_1.7;2039;1.565;0.964;2.369;-1.303;0.806
1-7d;Gamma;2039;1.525;0.959;2.294;-1.159;0.738
1-7d;Hazard_E;2039;1.822;1.194;2.657;-1.897;1.38
1-7d;Hazard_Median;2039;1.443;0.958;2.197;-0.98;0.698
>7d;log1p_Mean;562;7.617;4.987;10.798;-0.618;-7.086
>7d;Tweedie_1.3;562;6.901;4.267;10.195;-0.442;-6.176
>7d;Tweedie_1.5;562;7.007;4.489;10.214;-0.447;-6.283
>7d;Tweedie_1.7;562;7.149;4.701;10.379;-0.494;-6.473
>7d;Gamma;562;7.27;4.789;10.456;-0.517;-6.72
>7d;Hazard_E;562;6.512;4.013;9.782;-0.328;-6.112
>7d;Hazard_Median;562;7.335;4.75;10.585;-0.554;-6.929
>14d;log1p_Mean;236;12.961;11.141;15.821;-2.559;-12.689
>14d;Tweedie_1.3;236;12.003;9.962;15.018;-2.206;-11.513
>14d;Tweedie_1.5;236;12.009;9.943;14.998;-2.198;-11.549
>14d;Tweedie_1.7;236;12.336;10.059;15.254;-2.308;-11.926
>14d;Gamma;236;12.521;10.27;15.356;-2.352;-12.193
>14d;Hazard_E;236;11.615;9.557;14.514;-1.995;-11.463
>14d;Hazard_Median;236;12.648;10.958;15.543;-2.435;-12.438
