Subgroup;Modell;n;MAE;Median_AE;RMSE;R2;Bias
overall;log1p_Mean;15028;2.356;1.051;5.449;0.187;-0.9
overall;Tweedie_1.3;15028;2.487;1.268;5.334;0.221;-0.316
overall;Tweedie_1.5;15028;2.454;1.246;5.331;0.222;-0.41
overall;Tweedie_1.7;15028;2.434;1.209;5.333;0.221;-0.467
overall;Gamma;15028;2.417;1.187;5.36;0.213;-0.581
overall;Quantile_P50;15028;2.342;0.902;5.631;0.131;-1.366
overall;Quantile_P80;15028;2.993;1.868;5.467;0.181;0.876
overall;Hazard_E;15028;2.656;1.597;5.34;0.219;0.066
overall;Hazard_Median;15028;2.401;1.082;5.537;0.16;-0.94
1-7d;log1p_Mean;12754;1.201;0.884;1.667;-0.322;0.473
1-7d;Tweedie_1.3;12754;1.49;1.078;2.101;-1.1;0.963
1-7d;Tweedie_1.5;12754;1.435;1.056;1.996;-0.895;0.888
1-7d;Tweedie_1.7;12754;1.403;1.022;1.946;-0.801;0.839
1-7d;Gamma;12754;1.353;0.992;1.862;-0.649;0.752
1-7d;Quantile_P50;12754;1.056;0.727;1.485;-0.049;0.077
1-7d;Quantile_P80;12754;2.257;1.672;3.115;-3.616;2.006
1-7d;Hazard_E;12754;1.731;1.442;2.191;-1.284;1.412
1-7d;Hazard_Median;12754;1.195;0.933;1.562;-0.161;0.511
>7d;log1p_Mean;2274;8.837;6.144;13.441;-0.649;-8.598
>7d;Tweedie_1.3;2274;8.079;5.473;12.778;-0.49;-7.492
>7d;Tweedie_1.5;2274;8.171;5.559;12.864;-0.51;-7.691
>7d;Tweedie_1.7;2274;8.218;5.602;12.911;-0.521;-7.788
>7d;Gamma;2274;8.388;5.755;13.054;-0.555;-8.054
>7d;Quantile_P50;2274;9.559;6.842;14.044;-0.8;-9.46
>7d;Quantile_P80;2274;7.121;4.533;11.964;-0.306;-5.458
>7d;Hazard_E;2274;7.844;5.121;12.71;-0.474;-7.48
>7d;Hazard_Median;2274;9.162;6.491;13.746;-0.724;-9.081
>14d;log1p_Mean;776;16.95;13.509;21.808;-1.536;-16.914
>14d;Tweedie_1.3;776;15.702;12.48;20.799;-1.307;-15.649
>14d;Tweedie_1.5;776;15.92;12.687;20.946;-1.34;-15.913
>14d;Tweedie_1.7;776;15.979;12.81;21.018;-1.356;-15.951
>14d;Gamma;776;16.302;12.957;21.238;-1.405;-16.285
>14d;Quantile_P50;776;17.932;14.452;22.643;-1.734;-17.932
>14d;Quantile_P80;776;13.677;10.539;19.473;-1.022;-13.405
>14d;Hazard_E;776;15.737;12.306;20.862;-1.321;-15.737
>14d;Hazard_Median;776;17.539;13.923;22.284;-1.648;-17.539
