Feature;MAE_increase_days;sd
first_careunit;0.21691332854094353;0.009409199341321499
proc24_225792;0.12303967376498823;0.006372155953782485
proc24_227194;0.07772087594007582;0.005165230125679212
proc24_total_count;0.06305552367155665;0.004742400650878871
admission_type;0.021539363063424057;0.002061969432646094
vital24_220210_mean;0.014368626095895643;0.003098867501311349
lab24_51006_last;0.014003533750287022;0.0012431353534072347
lab24_50813_cnt;0.013253617101316362;0.0015670707373239357
lab24_50821_min;0.011994147953174838;0.002024752552710146
lab24_50821_last;0.009281486149973438;0.0008337269825122585
vital24_223761_mean;0.009183815236268433;0.001495331513917249
lab24_50821_first;0.007789962262286299;0.0009407439028645894
proc24_221214;0.007661855249007576;0.0023694422847254037
vital24_220045_last;0.007359878407867093;0.001062197562041193
lab24_50821_max;0.0073052135406246775;0.0012918673857073664
lab24_50820_cnt;0.007169095035923956;0.0010613566056128852
lab24_50821_mean;0.0069862541769347255;0.0011381195312694782
lab24_50813_last;0.006986028546430578;0.0007965561234686259
lab24_50983_cnt;0.006767342563028844;0.0015253483876920184
vital24_220074_min;0.006502316018908339;0.0012623896939160633
vital24_220277_min;0.0048173715174729455;0.0011435850322079671
stay_nr;0.00467814367046202;0.0007753185621395426
vital24_220179_last;0.004307372961185862;0.0011888503859057383
vital24_220277_mean;0.004250304593351561;0.0013145642546764339
vital24_220277_last;0.0038086107570772577;0.002165936148350048
lab24_50802_last;0.0037023367428782096;0.0002565380642391722
lab24_51221_cnt;0.0034749776658483888;0.0010462183720482967
vital24_223761_last;0.003467787259313848;0.0007258296267881586
lab24_51301_last;0.0034122282815070904;0.000732280929414914
lab24_50912_mean;0.003156587833245794;0.0007994377806476344
proc24_224277;0.003044857462953665;0.0016002799557318468
vital24_220210_cnt;0.002999201443725408;0.0008768995305440729
lab24_50820_min;0.002885841164756808;0.0008003760769784396
lab24_50983_last;0.0027672287715279965;0.0012916827373333434
lab24_50813_max;0.0027457486378441587;0.0007753637127279119
age;0.0027415698868609615;0.0013246771412474625
vital24_220074_mean;0.00263337515172255;0.0014531476129885017
vital24_220045_min;0.0024717998247061777;0.0006439451831426288
proc24_225752;0.002419058495627802;0.0012431930365992922
vital24_220179_min;0.002382295303371329;0.0009647086279425557
vital24_220052_last;0.0023396722998266562;0.0004011498524719593
vital24_220277_cnt;0.0022450592208617336;0.0008491959263821303
lab24_50802_mean;0.002238309849968889;0.0014119557964969605
vital24_223761_max;0.0022261835863856662;0.0011073836096195634
lab24_50813_first;0.002203728172549724;0.00070384417552157
vital24_220050_min;0.002190854340147119;0.0006836882533102938
vital24_220052_cnt;0.002187520235547602;0.00027723993663485505
vital24_220050_cnt;0.0021874642929942565;0.0007898878903212968
proc24_224263;0.0021095652219456974;0.0006026334768957059
vital24_220180_max;0.0020893598246223277;0.0004993124183800063
lab24_50820_last;0.0019858479628299896;9.611154764386015e-05
vital24_220210_first;0.001919476198964798;0.0009006607160826864
lab24_50912_last;0.0018980582407492896;0.0007174943941412269
lab24_50868_max;0.0018562330926967796;0.0003161971626019737
lab24_50804_mean;0.0018538648501326804;0.00030331275608311465
vital24_220050_last;0.0017552263374242649;0.0007548809542736137
vital24_220180_min;0.0016967233805216253;0.0004087081310664756
lab24_50818_max;0.001682940079954065;0.0006411895536041766
vital24_220181_cnt;0.0016693242010278552;0.0008024718750082083
proc24_224276;0.0016594756002252353;0.0009205595525380566
vital24_220050_first;0.0015749529396341445;0.0004715461298487794
vital24_220052_first;0.0015744176337808113;0.0010817614915365299
lab24_51249_mean;0.0015223672826911283;0.0006381866017326435
lab24_50960_cnt;0.0015032456585745812;0.0009160954635027495
vital24_220179_mean;0.001499303514701733;0.0004135912487988565
vital24_220210_last;0.0014886668501078227;0.00010602401192100584
lab24_50821_cnt;0.0014535081414032368;0.0007260005323857399
vital24_220052_min;0.0014437163986014134;0.0005775102685062945
lab24_50912_max;0.001433412242103671;0.0008880692001466245
lab24_50960_min;0.001422122332502429;0.0005039777346916931
lab24_50912_cnt;0.00141704677827299;0.0006483220169697898
lab24_51277_last;0.0014073569673168861;0.0005134249429522491
gender;0.001405902512374091;0.00041526343206709903
lab24_50868_last;0.0013829908804276591;0.0006502739041808174
vital24_220051_cnt;0.0013722471651148815;0.00029271596807423767
lab24_50820_max;0.0013711785965143442;0.0006056296242064447
vital24_220210_min;0.0012441874224876416;0.0008715228681369972
lab24_50818_last;0.001236388690065482;0.00048387078075940663
proc24_225966;0.0012191854031794237;0.0008769222581518268
lab24_50912_first;0.0011973922015915406;0.0007314744399520798
lab24_50893_min;0.0011565820059248999;0.00020843117901937286
lab24_51249_first;0.0011490912986422686;0.0004483430239425875
lab24_50902_first;0.0011398330351513053;0.00011140154314852518
lab24_51249_min;0.0011376286712488693;0.0003457678359844299
lab24_51301_first;0.0011238121267071576;9.632704055010157e-05
lab24_50802_min;0.0011008299710309366;0.00038932536547050113
vital24_220181_mean;0.0010980188902750322;0.00038507655345158424
lab24_50813_min;0.001089635130573452;0.0008085528464555259
lab24_51275_last;0.0010807443423007435;0.0005286426743347653
lab24_50970_cnt;0.0010479894389047394;0.0003631136276521749
lab24_51275_max;0.001045184239431851;0.0005336376248382598
vital24_223761_first;0.0009962140876278447;0.0003728627068886077
lab24_51277_max;0.0009871978193038088;0.00037958040138752274
vital24_220052_mean;0.0009819247175149037;0.0004213439064445892
lab24_51006_mean;0.0009530942591032598;0.00044409126270784395
vital24_220045_mean;0.0009331235192705734;0.0007310603129283908
lab24_50931_first;0.0009326786951049826;0.0006759439101550148
vital24_223762_max;0.0009220710901596263;0.0001942857012118626
lab24_50960_mean;0.0009058467587278685;0.00040637263637408706
lab24_51301_min;0.0008945651271875299;0.00027167075729867446
proc24_229351;0.0008915599088758164;0.001098463680274218
lab24_51265_last;0.0008660748744717672;0.00019904316607256885
vital24_220180_cnt;0.0008647793108270463;0.0003116207109909672
proc24_224275;0.0008226852614087399;0.0015453703958898998
lab24_50882_last;0.0007906307242095068;0.0006026807324056378
lab24_50820_mean;0.0007589955690701977;0.0007293307351589886
lab24_50818_first;0.0007136850642453397;0.0004374511798078393
vital24_220050_max;0.0007019816286211622;0.0004706324305223034
lab24_50970_last;0.0007006017856687307;0.0004895454862772291
lab24_50893_mean;0.0006712056431861235;0.00042902088159410025
vital24_220179_cnt;0.0006685741250073817;0.0003776478421371743
vital24_220051_mean;0.0006638851454612293;0.00043132551888399917
lab24_50868_min;0.0006588807452167167;0.0005054497438925952
lab24_51275_mean;0.0006342229438624613;0.0004817052745703961
lab24_50818_min;0.0006117535921734251;0.0001947264346394289
lab24_50893_max;0.0006079521906729113;0.00028853415445810105
lab24_50802_first;0.0006018443454640198;0.00027045986125005643
lab24_50902_cnt;0.0005858491959042311;0.00017171511621288162
lab24_50931_max;0.0005474444158611646;0.00030252299712683705
vital24_223762_last;0.0005259173537448091;0.0003378233664380911
vital24_220050_mean;0.0005121136152834715;0.0009879267729744937
vital24_220074_first;0.0004941062735628777;0.00030211237976792414
vital24_220210_max;0.000481186468053707;0.0003152563248319606
lab24_50902_min;0.000474263614831294;0.00039447334848802403
lab24_51277_first;0.00046369401919417187;0.0003352258418620808
lab24_51006_min;0.00044261405047674174;0.0005831522427577677
vital24_220045_first;0.0004350332020742087;0.0005283324360116373
lab24_51250_min;0.0004339340768127364;0.00022310001485295356
lab24_50983_max;0.0004289379256038117;0.0004426211816636745
lab24_51279_mean;0.0004285112699316862;0.0002511026309442466
lab24_51237_last;0.00042506876737116175;0.0003987329202037644
lab24_50882_min;0.00041918523757562555;0.000655146199991306
lab24_50804_first;0.00041172286696804504;0.00025171111061552927
lab24_50802_cnt;0.00039960252224968684;0.0014117575756155438
vital24_220074_last;0.0003967364997248701;0.0005404034806873631
vital24_220052_max;0.0003907857072973364;0.00023042795544221182
lab24_50818_mean;0.0003855222669622904;0.0006273514939349643
lab24_50931_min;0.00037936789526771264;0.0003252098837271392
lab24_51006_max;0.00037561536814578744;0.0003654486474503587
vital24_223761_cnt;0.000360296422781925;0.0006637526625622093
lab24_51274_first;0.0003588015937365796;0.00031182774889059286
lab24_50902_mean;0.0003429256121320279;0.00037633550636038065
lab24_51265_first;0.0003417830586435855;0.0004864741412729728
lab24_51279_first;0.00033711005692138585;0.00025414745130089155
lab24_50983_min;0.00033534621554860423;0.00020730975502550908
lab24_50868_cnt;0.0003289695055397779;0.00048406445557887896
lab24_51237_max;0.0003234699596301738;0.0001940703053380186
lab24_50818_cnt;0.00032248443905533717;0.0002734586842713691
lab24_50868_mean;0.0003103758213521601;0.0005921836093606912
lab24_51237_first;0.0003095109758468162;0.00040957990832108396
lab24_51274_min;0.0003036946777505101;0.00044200670785715754
lab24_51277_mean;0.00029853923467380026;0.0009981342978883328
lab24_51221_first;0.0002923103281922579;0.00019372469211308122
lab24_50931_cnt;0.0002770316018707142;0.0014195424303598053
lab24_51006_cnt;0.00027529738705247555;0.00017024551771367742
lab24_51222_first;0.0002693086984246307;0.0003219811956411994
lab24_50971_min;0.000256648421075667;0.0002935614622377646
lab24_51250_max;0.00024376302954900452;0.0004811387224307721
lab24_51222_last;0.00023841980116463547;0.00031228776246566093
vital24_220180_last;0.00023761356347593577;0.000821143311262708
lab24_51222_max;0.0002265501469507214;0.00015194758795166266
lab24_51274_last;0.00022056925448667996;0.00029442571866041906
lab24_50971_mean;0.000213957617380256;0.0005192377520721927
lab24_50804_max;0.00019716892627439365;0.00023540743565344106
lab24_50970_min;0.00019458722904017734;0.0006610447692180076
proc24_225459;0.00019341480796448708;0.00038460141067585344
vital24_223761_min;0.00019096317486431147;0.0005497986796268944
vital24_220051_max;0.000183710071581622;0.00026538302301110545
lab24_51275_min;0.0001677317121737687;0.0004738467403938468
lab24_50804_last;0.00016104530996754462;0.00023165099009353436
vital24_220181_last;0.00016019049819329111;0.0003600534748280995
lab24_50893_last;0.00014677303475822966;0.00026616475712549885
lab24_51279_min;0.0001467225391159843;0.0003006954440313251
vital24_220181_max;0.00014102742473314222;0.00041212677501617577
lab24_50902_max;0.00013969289989841372;0.00031868074202208403
vital24_220181_first;0.00013773959777108047;0.0002426566227887314
lab24_50960_max;0.00013545464955440069;0.0002068890047725131
proc24_225432;0.00013222669202308523;0.00010519685477214872
lab24_50970_first;0.00012870817605667995;0.00018901280141604874
lab24_50970_mean;0.00012169416591891746;0.0002714734751935204
lab24_50804_min;0.00012105338476304794;0.00028424555796428196
vital24_220051_min;0.00011121056655616357;0.00024693038009196704
lab24_50820_first;0.00010630900644388319;0.0002957859701790567
lab24_51221_mean;0.00010566329949011078;0.0003809628557139621
proc24_225402;0.00010548012271636154;0.00042487354195343236
vital24_223762_min;9.597128297675895e-05;0.00015674533252828937
vital24_220074_max;9.530702995386164e-05;0.00021006609758312275
proc24_224274;8.135106439954853e-05;0.0002915637133730609
lab24_51248_min;7.698748546181022e-05;0.0001524855898746503
lab24_50960_first;7.657083364787098e-05;0.0010251399033409361
vital24_223762_first;7.080891305442095e-05;0.00030891217055899266
lab24_50983_mean;7.048456818115056e-05;0.00027792319085253957
lab24_51221_max;6.887229154761698e-05;0.00041898982569831656
lab24_52172_min;6.856158170016613e-05;0.00024781301427578525
proc24_225469;5.3226703467323945e-05;0.0007046667959510643
lab24_51222_min;5.166000731797738e-05;0.00022721271486173547
lab24_51265_cnt;3.4407619017340354e-05;0.00012127421276777285
lab24_50983_first;3.120986753044619e-05;0.00031388913949566304
vital24_223762_cnt;2.8989859739780856e-05;0.00011131890479300062
vital24_220045_cnt;2.704189281121927e-05;0.0001564101296026481
lab24_51237_mean;1.872541386989113e-05;7.507652432649685e-05
vital24_220051_first;1.697633731811976e-05;0.00029570829831824266
lab24_52172_cnt;1.594209799966606e-05;0.00026848222898077305
vital24_220180_mean;1.3712497013518288e-05;0.00042806346822830065
lab24_51237_min;1.0928310164892708e-05;0.0003581489855169999
lab24_52172_first;1.7092903465965036e-07;0.00038177421372582906
lab24_51250_cnt;0.0;0.0
lab24_51279_cnt;0.0;0.0
lab24_51222_mean;-1.9944445819319867e-06;0.0001564329191040507
lab24_51277_cnt;-5.582582950491854e-06;0.00012427577901007045
lab24_50971_cnt;-6.018039650257379e-06;8.438041887659921e-05
lab24_50971_last;-8.651387188063353e-06;0.0004362968056131733
lab24_51221_min;-1.4614794836909084e-05;0.00040922636297521364
lab24_52172_max;-1.5493154057555357e-05;0.0003202088671628053
lab24_51249_cnt;-2.7481257915429326e-05;2.576878885558253e-05
vital24_220277_max;-3.051638797471057e-05;0.00010345347719665306
lab24_51275_first;-3.2410278735195416e-05;0.0007661552246779532
lab24_51248_mean;-3.310699091141345e-05;0.00021115773826251686
lab24_51301_cnt;-3.364800214757935e-05;1.347308356165723e-05
lab24_50902_last;-4.6616955492062576e-05;0.0001670289998511082
lab24_51006_first;-5.862721992428987e-05;0.0002741082797005358
lab24_50813_mean;-5.962577735028063e-05;0.0005313086216362872
vital24_220074_cnt;-6.432535182083754e-05;0.0004423365931680012
lab24_50960_last;-6.897640871104116e-05;0.000126904779587769
lab24_51279_max;-7.701074422712395e-05;0.00018193469000329392
vital24_220181_min;-8.360375327507442e-05;0.00026771418021190183
lab24_51249_max;-9.13306949224868e-05;0.00015784962098216443
lab24_50893_first;-9.717193391560741e-05;0.00034287717333350066
lab24_51301_mean;-0.00010158892336571412;0.0004378691364993156
lab24_51274_max;-0.00010681525131488457;0.0003695289976904965
lab24_52172_last;-0.00011784806195889175;0.0003168049735263101
lab24_51248_cnt;-0.00013092079162584368;0.00010961578750245058
lab24_51265_max;-0.00013771534003144127;0.00020023971381035284
lab24_50971_max;-0.00013928068700526098;0.0005012218869185076
lab24_50971_first;-0.00015385349863512588;0.00034236609885113955
vital24_220277_first;-0.00015668769238601498;0.0012900087938445854
lab24_51279_last;-0.00016818726548430973;0.0004860781018176931
lab24_51274_mean;-0.00016894952256576445;0.00033838453746883496
lab24_51277_min;-0.00017085007641020055;0.00024197640754627378
lab24_51274_cnt;-0.00018086210506940148;5.451335301613713e-05
lab24_51222_cnt;-0.00019690639147933452;0.0001639215939406235
lab24_51265_mean;-0.00020845218029696966;0.00015622611178557272
vital24_223762_mean;-0.0002095922307789877;8.730790834152728e-05
lab24_51265_min;-0.0002106467407013035;0.00027397008344228206
lab24_50882_first;-0.0002154542029696671;0.000393771305252244
lab24_52172_mean;-0.00022365142681843864;0.00019426783044243387
lab24_51237_cnt;-0.00022499295744182746;8.404974487831221e-05
lab24_51249_last;-0.00024125259055010062;0.0005040778641081904
