Subgroup;Modell;n;MAE;MedianAE;RMSE;R2;Bias
2-4 d;Oberarzt;84;1.496;1.03;2.462;-14.018;0.546
2-4 d;ExtraTrees;84;3.33;3.217;3.674;-32.435;3.33
2-4 d;log1p_Mean;84;2.214;1.877;2.666;-16.601;2.195
2-4 d;Tweedie_1.3;84;2.028;1.732;2.475;-14.171;2.022
2-4 d;Tweedie_1.5;84;1.829;1.561;2.329;-12.435;1.799
2-4 d;Tweedie_1.7;84;1.783;1.529;2.227;-11.281;1.752
2-4 d;Gamma;84;1.74;1.498;2.182;-10.789;1.704
2-4 d;Hazard_E;84;2.909;2.741;3.288;-25.776;2.901
2-4 d;Hazard_Median;84;1.919;1.725;2.326;-12.399;1.885
2-4 d;Quantile_P50;84;1.962;1.833;2.261;-11.668;1.942
2-4 d;Quantile_P80;84;6.256;5.883;6.676;-109.391;6.256
2-4 d;Null;84;1.948;2.035;2.049;-9.397;1.948
4-7 d;Oberarzt;46;1.954;1.865;2.401;-8.33;-0.876
4-7 d;ExtraTrees;46;1.496;1.4;1.832;-4.431;1.114
4-7 d;log1p_Mean;46;1.16;1.04;1.401;-2.177;-0.359
4-7 d;Tweedie_1.3;46;1.365;1.107;1.645;-3.381;-0.641
4-7 d;Tweedie_1.5;46;1.407;1.355;1.708;-3.723;-0.852
4-7 d;Tweedie_1.7;46;1.373;1.264;1.579;-3.035;-0.716
4-7 d;Gamma;46;1.428;1.214;1.676;-3.546;-0.923
4-7 d;Hazard_E;46;1.109;0.904;1.423;-2.279;0.296
4-7 d;Hazard_Median;46;1.146;1.01;1.356;-1.974;-0.582
4-7 d;Quantile_P50;46;1.056;0.982;1.291;-1.698;-0.613
4-7 d;Quantile_P80;46;3.087;3.126;3.63;-20.323;2.995
4-7 d;Null;46;0.799;0.741;0.963;-0.5;-0.556
>7 d;Oberarzt;70;7.74;6.087;10.102;-0.915;-5.435
>7 d;ExtraTrees;70;7.65;5.252;10.573;-1.098;-6.996
>7 d;log1p_Mean;70;8.831;7.072;11.488;-1.477;-8.79
>7 d;Tweedie_1.3;70;9.581;7.772;12.025;-1.714;-9.435
>7 d;Tweedie_1.5;70;9.711;8.087;12.241;-1.812;-9.675
>7 d;Tweedie_1.7;70;9.7;8.169;12.214;-1.8;-9.604
>7 d;Gamma;70;9.87;7.985;12.339;-1.858;-9.798
>7 d;Hazard_E;70;8.301;6.703;10.897;-1.229;-8.27
>7 d;Hazard_Median;70;9.151;8.084;11.596;-1.524;-9.15
>7 d;Quantile_P50;70;9.222;7.514;11.707;-1.572;-9.222
>7 d;Quantile_P80;70;6.589;3.989;9.344;-0.639;-5.63
>7 d;Null;70;9.897;8.375;12.297;-1.838;-9.897
overall;Oberarzt;200;3.787;1.976;6.292;0.161;-1.874
overall;ExtraTrees;200;4.42;2.858;6.751;0.035;-0.794
overall;log1p_Mean;200;4.288;2.054;7.044;-0.051;-2.237
overall;Tweedie_1.3;200;4.519;2.461;7.335;-0.14;-2.6
overall;Tweedie_1.5;200;4.491;2.12;7.442;-0.173;-2.827
overall;Tweedie_1.7;200;4.46;2.101;7.408;-0.162;-2.79
overall;Gamma;200;4.514;2.238;7.479;-0.185;-2.926
overall;Hazard_E;200;4.382;2.658;6.824;0.014;-1.608
overall;Hazard_Median;200;4.273;2.253;7.054;-0.054;-2.544
overall;Quantile_P50;200;4.295;2.179;7.106;-0.07;-2.553
overall;Quantile_P80;200;5.644;4.741;7.232;-0.108;1.346
overall;Null;200;4.466;2.227;7.41;-0.163;-2.774
