Kohorte;Subgruppe;Modell;n;MAE_Arzt;MAE_ML;dMAE;CI_low;CI_high;p_one_sided;ML_besser_pct;ueberlegen
is_open=0;overall;ExtraTrees;193;2.011;2.636;-0.624;-1.045;-0.185;1.000;33.2;nein
is_open=0;overall;RandomForest;193;2.011;2.817;-0.806;-1.213;-0.357;1.000;32.1;nein
is_open=0;overall;XGBoost;193;2.011;3.003;-0.992;-1.449;-0.512;1.000;31.6;nein
is_open=0;overall;Ridge;193;2.011;7.417;-5.405;-8.582;-3.281;1.000;18.1;nein
is_open=0;overall;Tweedie;193;2.011;3.309;-1.297;-1.725;-0.82;1.000;29.0;nein
is_open=0;overall;Tweedie_1.5;193;2.011;2.587;-0.575;-0.955;-0.147;1.000;32.6;nein
is_open=0;overall;Quantile_P50;193;2.011;2.529;-0.517;-0.932;-0.085;1.000;34.2;nein
is_open=0;overall;Quantile_P80;193;2.011;3.785;-1.774;-2.235;-1.286;1.000;24.4;nein
is_open=0;overall;Hazard_E;193;2.011;2.805;-0.794;-1.198;-0.354;1.000;32.1;nein
is_open=0;1-2 d;ExtraTrees;67;0.735;2.462;-1.726;-2.179;-1.277;1.000;6.0;nein
is_open=0;1-2 d;RandomForest;67;0.735;2.802;-2.067;-2.512;-1.607;1.000;6.0;nein
is_open=0;1-2 d;XGBoost;67;0.735;3.132;-2.396;-2.967;-1.847;1.000;6.0;nein
is_open=0;1-2 d;Ridge;67;0.735;7.068;-6.333;-9.366;-4.45;1.000;3.0;nein
is_open=0;1-2 d;Tweedie;67;0.735;3.549;-2.814;-3.439;-2.185;1.000;9.0;nein
is_open=0;1-2 d;Tweedie_1.5;67;0.735;1.967;-1.231;-1.601;-0.842;1.000;10.4;nein
is_open=0;1-2 d;Quantile_P50;67;0.735;1.319;-0.584;-0.897;-0.234;1.000;20.9;nein
is_open=0;1-2 d;Quantile_P80;67;0.735;4.255;-3.52;-4.059;-3.016;1.000;4.5;nein
is_open=0;1-2 d;Hazard_E;67;0.735;2.674;-1.939;-2.312;-1.531;1.000;4.5;nein
is_open=0;2-4 d;ExtraTrees;68;1.485;1.265;0.22;-0.271;0.756;0.638;47.1;nein
is_open=0;2-4 d;RandomForest;68;1.485;1.545;-0.06;-0.516;0.453;0.924;42.6;nein
is_open=0;2-4 d;XGBoost;68;1.485;1.954;-0.469;-1.021;0.131;0.997;35.3;nein
is_open=0;2-4 d;Ridge;68;1.485;8.623;-7.138;-15.704;-2.476;1.000;11.8;nein
is_open=0;2-4 d;Tweedie;68;1.485;2.356;-0.871;-1.413;-0.25;1.000;29.4;nein
is_open=0;2-4 d;Tweedie_1.5;68;1.485;1.313;0.172;-0.322;0.736;0.601;48.5;nein
