gate;long_expert;q;MAE;R2;slope;bias_gt7;MAE_gt7;cov_gt7;MAE_1-2;MAE_2-4;MAE_4-7;MAE_>7
hard (arzt>=7);log1p-ExtraTrees+recal;-;3.316;0.241;0.695;-4.31;7.6;0.343;1.36;1.47;3.83;7.6
soft (c=7,s=1);log1p-ExtraTrees+recal;-;2.933;0.358;0.908;-4.85;6.89;0.257;1.41;1.4;2.56;6.89
hard (arzt>=7);quantile-GBR;0.5;3.207;0.266;0.808;-5.37;7.78;0.257;1.28;1.29;3.35;7.78
soft (c=7,s=1);quantile-GBR;0.5;2.935;0.34;1.037;-5.82;7.37;0.171;1.32;1.21;2.35;7.37
hard (arzt>=7);quantile-GBR;0.7;3.533;0.147;0.583;-2.94;8.25;0.4;1.34;1.55;4.08;8.25
soft (c=7,s=1);quantile-GBR;0.7;3.07;0.309;0.743;-3.62;7.19;0.343;1.41;1.48;2.8;7.19
hard (arzt>=7);quantile-GBR;0.8;3.915;-0.033;0.489;-1.18;9.0;0.486;1.43;1.76;4.76;9.0
soft (c=7,s=1);quantile-GBR;0.8;3.31;0.217;0.618;-1.93;7.51;0.429;1.51;1.7;3.23;7.51
hard (arzt>=7);quantile-GBR;0.9;4.869;-0.639;0.37;2.26;11.34;0.543;1.67;2.22;5.84;11.34
soft (c=7,s=1);quantile-GBR;0.9;3.946;-0.127;0.479;1.26;8.65;0.529;1.76;2.26;3.96;8.65
-;Senior physician;-;2.94;0.276;0.83;-5.44;7.74;0.214;0.97;1.5;1.95;7.74
